"participant"	"language"	"item"	"repetition"	"vot"
"biling06"	"spanish"	"te"	1	22.54
"biling06"	"spanish"	"te"	2	4.77
"biling06"	"spanish"	"te"	3	23.19
"biling06"	"spanish"	"ti"	1	-3.76
"biling06"	"spanish"	"ti"	2	13.07
"biling06"	"spanish"	"ti"	3	-14.12
"biling06"	"spanish"	"tu"	1	10.1
"biling06"	"spanish"	"tu"	2	1.08
"biling06"	"spanish"	"tu"	3	-11.53
"biling07"	"english"	"dig"	1	22.91
"biling07"	"english"	"dig"	2	21.23
"biling07"	"english"	"dig"	3	25.32
"biling07"	"english"	"dog"	1	14.07
"biling07"	"english"	"dog"	2	25.21
"biling07"	"english"	"dog"	3	3.24
"biling07"	"english"	"dug"	1	23.15
"biling07"	"english"	"dug"	2	28.27
"biling07"	"english"	"dug"	3	13.27
"biling07"	"english"	"tag"	1	55.38
"biling07"	"english"	"tag"	2	41.38
"biling07"	"english"	"tag"	3	65.45
"biling07"	"english"	"tog"	1	47.53
"biling07"	"english"	"tog"	2	46.57
"biling07"	"english"	"tog"	3	49.03
"biling07"	"english"	"tug"	1	53.17
"biling07"	"english"	"tug"	2	39.08
"biling07"	"english"	"tug"	3	16.08
"biling07"	"spanish"	"da"	1	-68.42
"biling07"	"spanish"	"da"	2	-57.72
"biling07"	"spanish"	"da"	3	-71.11
"biling07"	"spanish"	"de"	1	-68.51
"biling07"	"spanish"	"de"	2	-54.86
"biling07"	"spanish"	"de"	3	-74.31
"biling07"	"spanish"	"di"	1	-45.04
"biling07"	"spanish"	"di"	2	-38.19
"biling07"	"spanish"	"di"	3	-64.88
"biling07"	"spanish"	"te"	1	20.53
"biling07"	"spanish"	"te"	2	12.65
"biling07"	"spanish"	"te"	3	5.82
"biling07"	"spanish"	"ti"	1	12.81
"biling07"	"spanish"	"ti"	2	11
"biling07"	"spanish"	"ti"	3	19.48
"biling07"	"spanish"	"tu"	1	-0.41
"biling07"	"spanish"	"tu"	2	15.22
"biling07"	"spanish"	"tu"	3	1.39
"biling08"	"english"	"dig"	1	16.31
"biling08"	"english"	"dig"	2	23.07
"biling08"	"english"	"dig"	3	13.11
"biling08"	"english"	"dog"	1	23.51
"biling08"	"english"	"dog"	2	13.78
"biling08"	"english"	"dog"	3	24.18
"biling08"	"english"	"dug"	1	19.65
"biling08"	"english"	"dug"	2	10.34
"biling08"	"english"	"dug"	3	7.25
"biling08"	"english"	"tag"	1	21.71
"biling08"	"english"	"tag"	2	57.13
"biling08"	"english"	"tag"	3	50.28
"biling08"	"english"	"tog"	1	51.73
"biling08"	"english"	"tog"	2	53.42
"biling08"	"english"	"tog"	3	77.16
"biling08"	"english"	"tug"	1	54.51
"biling08"	"english"	"tug"	2	40.54
"biling08"	"english"	"tug"	3	49.75
"biling08"	"spanish"	"da"	1	-53.85
"biling08"	"spanish"	"da"	2	-58.55
"biling08"	"spanish"	"da"	3	-46.89
"biling08"	"spanish"	"de"	1	-65.05
"biling08"	"spanish"	"de"	2	-66.94
"biling08"	"spanish"	"de"	3	-53.28
"biling08"	"spanish"	"di"	1	-57.54
"biling08"	"spanish"	"di"	2	-68.72
"biling08"	"spanish"	"di"	3	-77.49
"biling08"	"spanish"	"te"	1	-1.83
"biling08"	"spanish"	"te"	2	5.67
"biling08"	"spanish"	"te"	3	29.46
"biling08"	"spanish"	"ti"	1	14.05
"biling08"	"spanish"	"ti"	2	11.27
"biling08"	"spanish"	"ti"	3	31.55
"biling08"	"spanish"	"tu"	1	17.6
"biling08"	"spanish"	"tu"	2	4.21
"biling08"	"spanish"	"tu"	3	-6.66
"biling09"	"english"	"dig"	1	15.82
"biling09"	"english"	"dig"	2	13.05
"biling09"	"english"	"dig"	3	15.14
"biling09"	"english"	"dog"	1	10.2
"biling09"	"english"	"dog"	2	9.62
"biling09"	"english"	"dog"	3	20.43
"biling09"	"english"	"dug"	1	28.33
"biling09"	"english"	"dug"	2	7.94
"biling09"	"english"	"dug"	3	16.64
"biling09"	"english"	"tag"	1	34.85
"biling09"	"english"	"tag"	2	70.66
"biling09"	"english"	"tag"	3	22.34
"biling09"	"english"	"tog"	1	49.94
"biling09"	"english"	"tog"	2	50.37
"biling09"	"english"	"tog"	3	52.64
"biling09"	"english"	"tug"	1	36.87
"biling09"	"english"	"tug"	2	26.64
"biling09"	"english"	"tug"	3	50.56
"biling09"	"spanish"	"da"	1	-69.52
"biling09"	"spanish"	"da"	2	-64.61
"biling09"	"spanish"	"da"	3	-59.98
"biling09"	"spanish"	"de"	1	-58.96
"biling09"	"spanish"	"de"	2	-29.54
"biling09"	"spanish"	"de"	3	-59.33
"biling09"	"spanish"	"di"	1	-59.57
"biling09"	"spanish"	"di"	2	-55.92
"biling09"	"spanish"	"di"	3	-35.68
"biling09"	"spanish"	"te"	1	17.22
"biling09"	"spanish"	"te"	2	6.65
"biling09"	"spanish"	"te"	3	1.74
"biling09"	"spanish"	"ti"	1	15.84
"biling09"	"spanish"	"ti"	2	18.41
"biling09"	"spanish"	"ti"	3	0.57
"biling09"	"spanish"	"tu"	1	10.48
"biling09"	"spanish"	"tu"	2	1.52
"biling09"	"spanish"	"tu"	3	22.99
